station_name,station_code,station_category,division,zone,district,state
SHIUPUR,SOP,NSG6,LUCKNOW,NR,VARANASI,UTTAR PRADESH
SHIVNAGAR,SHNG,NSG6,LUCKNOW,NR,SULTANPUR,UTTAR PRADESH
SHRIRAJNAGAR,SAGR,NSG6,LUCKNOW,NR,RAE BARELI,UTTAR PRADESH
SINDURWA,SYW,NSG6,LUCKNOW,NR,AMETHI,UTTAR PRADESH
SIWAITH,SWE,NSG6,LUCKNOW,NR,PRAYAGRAJ,UTTAR PRADESH
SOHWAL,SLW,NSG6,LUCKNOW,NR,AYODHYA,UTTAR PRADESH
SONIK,SIC,NSG6,LUCKNOW,NR,UNNAO,UTTAR PRADESH
SUWANSA,SWS,NSG6,LUCKNOW,NR,PRATAPGARH,UTTAR PRADESH
TAKIA,TQA,NSG6,LUCKNOW,NR,UNNAO,UTTAR PRADESH
TALAKHAJURI,TLKH,NSG6,LUCKNOW,NR,SULTANPUR,UTTAR PRADESH
THARWAI,THW,NSG6,LUCKNOW,NR,PRAYAGRAJ,UTTAR PRADESH
TRILOCHAN MAHADEO,TLMD,NSG6,LUCKNOW,NR,JAUNPUR,UTTAR PRADESH
TRIVEDIGANJ,TEG,NSG6,LUCKNOW,NR,BARABANKI,UTTAR PRADESH
TULSI NAGAR HALT,TLGR,NSG6,LUCKNOW,NR,SULTANPUR,UTTAR PRADESH
UBARNI,UBN,NSG6,LUCKNOW,NR,RAE BARELI,UTTAR PRADESH
UGRASENPUR,URPR,NSG6,LUCKNOW,NR,PRAYAGRAJ,UTTAR PRADESH
ULNA BHARI,ULN,NSG6,LUCKNOW,NR,AYODHYA,UTTAR PRADESH
UTRAITIA JN.,UTR,NSG6,LUCKNOW,NR,LUCKNOW,UTTAR PRADESH
VYASANAGAR,VYN,NSG6,LUCKNOW,NR,CHANDAULI,UTTAR PRADESH
ADHYATMIK NAGAR HALT,AKNR,HG3,MORADABAD,NR,GHAZIABAD,UTTAR PRADESH
AMHERA HALT,ARH,HG3,MORADABAD,NR,BIJNOR,UTTAR PRADESH
ARSENI,ASI,HG3,MORADABAD,NR,HARDOI,UTTAR PRADESH
ATWA KURSATH,ATKS,HG3,MORADABAD,NR,HARDOI,UTTAR PRADESH
ATWA MUTHIA HALT,ATW,HG3,MORADABAD,NR,HARDOI,UTTAR PRADESH
BAGARPUR HALT,BGRR,HG3,MORADABAD,NR,BIJNOR,UTTAR PRADESH
BAHADURPUR,BHDH,HG3,MORADABAD,NR,SHAHJAHANPUR,UTTAR PRADESH
BAKAINA HALT,BKNA,HG3,MORADABAD,NR,BIJNOR,UTTAR PRADESH
BARADEV,BRDV,HG3,MORADABAD,NR,UNNAO,UTTAR PRADESH
BHAKRAULI,BHKL,HG3,MORADABAD,NR,SAMBHAL,UTTAR PRADESH
BURMI HALT,BRMX,HG3,MORADABAD,NR,SITAPUR,UTTAR PRADESH
CHAKKALI LAI HALT,CKLT,HG3,MORADABAD,NR,AMROHA,UTTAR PRADESH
CHANDSARA HALT,CXA,HG3,MORADABAD,NR,MEERUT,UTTAR PRADESH
CHAPRAWAT HALT,CHWT,HG3,MORADABAD,NR,BULANDSHAHR,UTTAR PRADESH
CHUCHELA KALAN HALT,CLKN,HG3,MORADABAD,NR,AMROHA,UTTAR PRADESH
DHARAMPUR HALT,DMPR,HG3,MORADABAD,NR,BULANDSHAHR,UTTAR PRADESH
FARHANTNAGAR,FRH,HG3,MORADABAD,NR,HARDOI,UTTAR PRADESH
FARHEDI HALT,FRD,HG3,MORADABAD,NR,MORADABAD,UTTAR PRADESH
FATEHPUR CHAURASI,FTC,HG3,MORADABAD,NR,UNNAO,UTTAR PRADESH
GAJU HALT,GAJU,HG3,MORADABAD,NR,HARDOI,UTTAR PRADESH
GANJ MURADABAD,GJMB,HG3,MORADABAD,NR,UNNAO,UTTAR PRADESH
GAUNTRA,GNTR,HG3,MORADABAD,NR,HARDOI,UTTAR PRADESH
GHAUSGANJ,GSGJ,HG3,MORADABAD,NR,HARDOI,UTTAR PRADESH
GHORI HALT,GHRI,HG3,MORADABAD,NR,SITAPUR,UTTAR PRADESH
GODHA,GDHA,HG3,MORADABAD,NR,ALIGARH,UTTAR PRADESH
JHALRA HALT,JHH,HG3,MORADABAD,NR,BIJNOR,UTTAR PRADESH
KAILI,KALI,HG3,MORADABAD,NR,MEERUT,UTTAR PRADESH
KARNA,KAR,HG3,MORADABAD,NR,HARDOI,UTTAR PRADESH
KASTLA-KASMABAD HALT,KKMB,HG3,MORADABAD,NR,GHAZIABAD,UTTAR PRADESH
KHARI - JHALU,KJLU,HG3,MORADABAD,NR,BIJNOR,UTTAR PRADESH
KUAKHERA HALT,KZS,HG3,MORADABAD,NR,MORADABAD,UTTAR PRADESH
MAJHAULA HALT,MJHL,HG3,MORADABAD,NR,SAMBHAL,UTTAR PRADESH
METHI TIKUR,METR,HG3,MORADABAD,NR,UNNAO,UTTAR PRADESH
NERI,NERI,HG3,MORADABAD,NR,SITAPUR,UTTAR PRADESH
NURNAGAR HALT,NRNR,HG3,MORADABAD,NR,MEERUT,UTTAR PRADESH
PATHAKPUR,PHX,HG3,MORADABAD,NR,SAMBHAL,UTTAR PRADESH
PATIYARA,PTYR,HG3,MORADABAD,NR,UNNAO,UTTAR PRADESH
PURWA KHERA,PRKE,HG3,MORADABAD,NR,BUDAUN,UTTAR PRADESH
SHAHJAHANPUR KUTCHERY,SXK,HG3,MORADABAD,NR,SHAHJAHANPUR,UTTAR PRADESH
SHARMA HALT,SHRM,HG3,MORADABAD,NR,HARDOI,UTTAR PRADESH
SHERPUR,SEPR,HG3,MORADABAD,NR,AMROHA,UTTAR PRADESH
SIRSI MUKHDUMPUR,SRMP,HG3,MORADABAD,NR,SAMBHAL,UTTAR PRADESH
SISAUNA,SISN,HG3,MORADABAD,NR,BIJNOR,UTTAR PRADESH
Sitapur Kutchery Halt,STRK,HG3,MORADABAD,NR,SITAPUR,UTTAR PRADESH
SUAHERI HALT,SXQ,HG3,MORADABAD,NR,BIJNOR,UTTAR PRADESH
SUNEHTI KHARKHARI HA,SNKE,HG3,MORADABAD,NR,MORADABAD,UTTAR PRADESH
SUNMAI HALT,SUNM,HG3,MORADABAD,NR,ALIGARH,UTTAR PRADESH
UGU,UGU,HG3,MORADABAD,NR,UNNAO,UTTAR PRADESH
HARIDWAR JN.,HW,NSG2,MORADABAD,NR,HARIDWAR,UTTARAKHAND
BAREILLY JN.,BE,NSG3,MORADABAD,NR,BAREILLY,UTTAR PRADESH
DEHRA DUN,DDN,NSG3,MORADABAD,NR,DEHRADUN,UTTARAKHAND
HARDOI,HRI,NSG3,MORADABAD,NR,HARDOI,UTTAR PRADESH
MORADABAD JN.,MB,NSG3,MORADABAD,NR,MORADABAD,UTTAR PRADESH
ROORKEE,RK,NSG3,MORADABAD,NR,HARIDWAR,UTTARAKHAND
SHAHJAHANPUR JN.,SPN,NSG3,MORADABAD,NR,SHAHJAHANPUR,UTTAR PRADESH
AMROHA,AMRO,NSG4,MORADABAD,NR,AMROHA,UTTAR PRADESH
CHANDAUSI JN.,CH,NSG4,MORADABAD,NR,SAMBHAL,UTTAR PRADESH
HAPUR JN.,HPU,NSG4,MORADABAD,NR,HAPUR,UTTAR PRADESH
NAJIBABAD JN.,NBD,NSG4,MORADABAD,NR,BIJNOR,UTTAR PRADESH
RAMPUR,RMU,NSG4,MORADABAD,NR,RAMPUR,UTTAR PRADESH
ANJI SHAHABAD,AJI,NSG5,MORADABAD,NR,HARDOI,UTTAR PRADESH
AONLA,AO,NSG5,MORADABAD,NR,BAREILLY,UTTAR PRADESH
BABRALA,BBA,NSG5,MORADABAD,NR,SAMBHAL,UTTAR PRADESH
BALAMAU JN.,BLM,NSG5,MORADABAD,NR,HARDOI,UTTAR PRADESH
BIJNOR,BJO,NSG5,MORADABAD,NR,BIJNOR,UTTAR PRADESH
BISHARATGANJ,BTG,NSG5,MORADABAD,NR,BAREILLY,UTTAR PRADESH
BULANDSHAHR,BSC,NSG5,MORADABAD,NR,BULANDSHAHR,UTTAR PRADESH
CHANDPUR SIAU HALT,CPS,NSG5,MORADABAD,NR,BIJNOR,UTTAR PRADESH
DABTARA,DUB,NSG5,MORADABAD,NR,BUDAUN,UTTAR PRADESH
DHAMPUR .,DPR,NSG5,MORADABAD,NR,BIJNOR,UTTAR PRADESH
GAJRAULA JN.,GJL,NSG5,MORADABAD,NR,AMROHA,UTTAR PRADESH
GARHMUKTESAR,GMS,NSG5,MORADABAD,NR,HAPUR,UTTAR PRADESH
HALDAUR,HLDR,NSG5,MORADABAD,NR,BIJNOR,UTTAR PRADESH
KOTDWARA,KTW,NSG5,MORADABAD,NR,PAURI GARHWAL,UTTARAKHAND
LAKSAR JN.,LRJ,NSG5,MORADABAD,NR,HARIDWAR,UTTARAKHAND
NAGINA,NGG,NSG5,MORADABAD,NR,BIJNOR,UTTAR PRADESH
PILKHUA,PKW,NSG5,MORADABAD,NR,HAPUR,UTTAR PRADESH
PITAMBARPUR,PMR,NSG5,MORADABAD,NR,BAREILLY,UTTAR PRADESH
RAIWALA JN.,RWL,NSG5,MORADABAD,NR,DEHRADUN,UTTARAKHAND
RISHIKESH,RKSH,NSG5,MORADABAD,NR,DEHRADUN,UTTARAKHAND
SANDILA,SAN,NSG5,MORADABAD,NR,HARDOI,UTTAR PRADESH
SEOHARA,SEO,NSG5,MORADABAD,NR,BIJNOR,UTTAR PRADESH
SITAPUR CITY JN,SPC,NSG5,MORADABAD,NR,SITAPUR,UTTAR PRADESH
TILHAR,TLH,NSG5,MORADABAD,NR,SHAHJAHANPUR,UTTAR PRADESH
YOG N RISHIKESH,YNRK,NSG5,MORADABAD,NR,DEHRADUN,UTTARAKHAND
AGHWANPUR,AWP,NSG6,MORADABAD,NR,MORADABAD,UTTAR PRADESH
AIGAWAN,AIG,NSG6,MORADABAD,NR,HARDOI,UTTAR PRADESH
AITHAL,ATMO,NSG6,MORADABAD,NR,HARIDWAR,UTTARAKHAND
ASAFPUR,AFR,NSG6,MORADABAD,NR,BUDAUN,UTTAR PRADESH
ATRAULI ROAD,AUR,NSG6,MORADABAD,NR,ALIGARH,UTTAR PRADESH
BABUGARH,BBO,NSG6,MORADABAD,NR,HAPUR,UTTAR PRADESH
BAGHAULI,BGH,NSG6,MORADABAD,NR,HARDOI,UTTAR PRADESH
BAHJOI,BJ,NSG6,MORADABAD,NR,SAMBHAL,UTTAR PRADESH
BALAWALI,BLW,NSG6,MORADABAD,NR,BIJNOR,UTTAR PRADESH
BALIAKHERI,BAE,NSG6,MORADABAD,NR,SAHARANPUR,UTTAR PRADESH
BANGARMAU,BGMU,NSG6,MORADABAD,NR,UNNAO,UTTAR PRADESH
BANTHRA,BTRA,NSG6,MORADABAD,NR,SHAHJAHANPUR,UTTAR PRADESH
BARAL,BARL,NSG6,MORADABAD,NR,BULANDSHAHR,UTTAR PRADESH
BAREILLY CANTT. Jn.,BRYC,NSG6,MORADABAD,NR,BAREILLY,UTTAR PRADESH
BASI KIRATPUR,BSKR,NSG6,MORADABAD,NR,BIJNOR,UTTAR PRADESH
BEHTAGOKAL,BEG,NSG6,MORADABAD,NR,HARDOI,UTTAR PRADESH
BENIGANJ,BEJ,NSG6,MORADABAD,NR,HARDOI,UTTAR PRADESH
BHITAURA,BTO,NSG6,MORADABAD,NR,BAREILLY,UTTAR PRADESH
BILPUR,BLPU,NSG6,MORADABAD,NR,BAREILLY,UTTAR PRADESH
BUNDKI,BEK,NSG6,MORADABAD,NR,BIJNOR,UTTAR PRADESH
CHAKRAJ MAL,CAJ,NSG6,MORADABAD,NR,BIJNOR,UTTAR PRADESH
CHANDOK,CNK,NSG6,MORADABAD,NR,BIJNOR,UTTAR PRADESH
CHODIALA,CDL,NSG6,MORADABAD,NR,HARIDWAR,UTTARAKHAND
CLUTTERBUCKGANJ,CBJ,NSG6,MORADABAD,NR,BAREILLY,UTTAR PRADESH
DALELNAGAR,DLQ,NSG6,MORADABAD,NR,HARDOI,UTTAR PRADESH
DALPATPUR,DLP,NSG6,MORADABAD,NR,MORADABAD,UTTAR PRADESH
DANDHERA,DNRA,NSG6,MORADABAD,NR,HARIDWAR,UTTARAKHAND
DASNA,DS,NSG6,MORADABAD,NR,GHAZIABAD,UTTAR PRADESH
DAUSNI,DSNI,NSG6,MORADABAD,NR,HARIDWAR,UTTARAKHAND
DHAMORA,DAM,NSG6,MORADABAD,NR,RAMPUR,UTTAR PRADESH
DHANARI,DN,NSG6,MORADABAD,NR,SAMBHAL,UTTAR PRADESH
DHANETA,DAN,NSG6,MORADABAD,NR,BAREILLY,UTTAR PRADESH
DIBAI,DIB,NSG6,MORADABAD,NR,BULANDSHAHR,UTTAR PRADESH
DILAWARNAGAR,DIL,NSG6,MORADABAD,NR,LUCKNOW,UTTAR PRADESH
DOIWALA,DWO,NSG6,MORADABAD,NR,DEHRADUN,UTTARAKHAND
DUGANPUR,DUN,NSG6,MORADABAD,NR,RAMPUR,UTTAR PRADESH
FAZALPUR,FZL,NSG6,MORADABAD,NR,BIJNOR,UTTAR PRADESH
GARHMUKTESAR BRIDGE,GGB,NSG6,MORADABAD,NR,HAPUR,UTTAR PRADESH
GULAOTHI,GLH,NSG6,MORADABAD,NR,BULANDSHAHR,UTTAR PRADESH
GUMTHAL,GTF,NSG6,MORADABAD,NR,SAMBHAL,UTTAR PRADESH
HABIBWALA,HBW,NSG6,MORADABAD,NR,BIJNOR,UTTAR PRADESH
HAFIZPUR,HZR,NSG6,MORADABAD,NR,HAPUR,UTTAR PRADESH
HAKIMPUR,HKP,NSG6,MORADABAD,NR,MORADABAD,UTTAR PRADESH
HARRAWALA,HRW,NSG6,MORADABAD,NR,DEHRADUN,UTTARAKHAND
HARTHALA,HRH,NSG6,MORADABAD,NR,MORADABAD,UTTAR PRADESH
HEMPUR,HMP,NSG6,MORADABAD,NR,SITAPUR,UTTAR PRADESH
IKKAR HALT,IKK,NSG6,MORADABAD,NR,HARIDWAR,UTTARAKHAND
IQBALPUR,IQB,NSG6,MORADABAD,NR,HARIDWAR,UTTARAKHAND
JAHANIKHERA HALT,JKH,NSG6,MORADABAD,NR,HARDOI,UTTAR PRADESH
JARGAON,JRJ,NSG6,MORADABAD,NR,MORADABAD,UTTAR PRADESH
JUNG BAHADURGANJ,JBG,NSG6,MORADABAD,NR,KHERI,UTTAR PRADESH
JWALAPUR,JWP,NSG6,MORADABAD,NR,HARIDWAR,UTTARAKHAND
KAFURPUR,KFPR,NSG6,MORADABAD,NR,AMROHA,UTTAR PRADESH
KAHILIA,KH,NSG6,MORADABAD,NR,SHAHJAHANPUR,UTTAR PRADESH
KAILSA,KIV,NSG6,MORADABAD,NR,AMROHA,UTTAR PRADESH
KAKORI,KKJ,NSG6,MORADABAD,NR,LUCKNOW,UTTAR PRADESH
KANKATHER,KHE,NSG6,MORADABAD,NR,AMROHA,UTTAR PRADESH
KANSRAO,QSR,NSG6,MORADABAD,NR,DEHRADUN,UTTARAKHAND
KANTH,KNT,NSG6,MORADABAD,NR,MORADABAD,UTTAR PRADESH
KARENGI,KEG,NSG6,MORADABAD,NR,BUDAUN,UTTAR PRADESH
KATGHAR,KGF,NSG6,MORADABAD,NR,MORADABAD,UTTAR PRADESH
